scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Animo	Hazırlık	Pot Sayisi	199.08208	ANİMO		Animo Cam Pot, 1.8 L	1168.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/199.08208		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600091	DİTO		Dito Sama K120S Cutter Mikser, Mutfak Robotu, 2 Hızlı, 11.5 L	259291.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600091		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600092	DİTO		Dito Sama K180S Cutter Mikser, Mutfak Robotu, 2 Hızlı, 17.5 L	283288.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600092		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600443	DİTO		Dito Sama K45 Cutter Mikser, Mutfak Robotu, 1 Hızlı, 4.5 L	63867.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600443		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600444	DİTO		Dito Sama K45 Cutter Mikser, Mutfak Robotu, 2 Hızlı, 4.5 L	77598.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600444		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600448	DİTO		Dito Sama K45 Cutter Mikser, Mutfak Robotu, Hız Varyatörlü, 4.5 L	85899.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600448		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600445	DİTO		Dito Sama K55 Cutter Mikser, Mutfak Robotu, 2 Hızlı, 5.5 L	75627.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600445		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600450	DİTO		Dito Sama K55 Cutter Mikser, Mutfak Robotu, Hız Varyatörlü, 5.5 L	84997.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600450		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600446	DİTO		Dito Sama K70 Cutter Mikser, Mutfak Robotu, 2 Hızlı, 7 L	80511.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600446		No match found on Mutbex
HAZIRLIK	Dito Sama	Hazırlık	Cutter Mikserler	208.600453	DİTO		Dito Sama K70 Cutter Mikser, Mutfak Robotu, Hız Varyatörlü, 7 L	90977.0					NO_MATCH	NO_MATCH	LOW	NOT_FOUND	https://equsto.com/shop/208.600453		No match found on Mutbex
