scope	brand	category	subcategory	sku	product_code	barcode	equsto_name	equsto_price_vat_included	mutbex_name	mutbex_price_vat_included	difference_tl	difference_percent	classification	match_method	confidence	stock_status	equsto_url	mutbex_url	notes
HAZIRLIK	Öztiryakiler Endüstriyel Mutfak	Hazırlık	Hamur Yogurma Makineleri	0820.00030.11	OZTI		HAMUR YOĞURMA MAKINASI 30 KG MEKANİK KONTROL PANELLİ	282844.0	Öztiryakiler Hamur Yoğurma Makinesi, 30 kg, OHY 30 TF	224678.57	58165.42999999999	25.89	BUYUK_FARK	MODEL_IN_NAME	HIGH	IN_STOCK	https://equsto.com/shop/0820.00030.11	https://www.mutbex.com/oztiryakiler-hamur-yogurma-makinesi-30-kg-ohy-30-tf	match_method=MODEL_IN_NAME; mutbex_code=1M.0820.00030.11
HAZIRLIK	Öztiryakiler Endüstriyel Mutfak	Hazırlık	Hamur Yogurma Makineleri	0820.00050.11	OZTI		HAMUR YOĞURMA MAKINASI 50 KG MEKANİK KONTROL PANELLİ	308777.0	Öztiryakiler Hamur Yoğurma Makinesi 50 KG, OHY 50 TF	245279.54	63497.45999999999	25.89	BUYUK_FARK	MODEL_IN_NAME	HIGH	IN_STOCK	https://equsto.com/shop/0820.00050.11	https://www.mutbex.com/oztiryakiler-hamur-yogurma-makinesi-50-kg-ohy-50-tf	match_method=MODEL_IN_NAME; mutbex_code=1M.0820.00050.11
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VICM-15A	VOSCO		Vosco Dondurma Makinesi (Sert) Set Üstü	198055.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	154405.0	353.73	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vicm-15a	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VSC-28F	VOSCO		Vosco Dondurma Makinesi 3 Kollu (Soft)	175202.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	131552.0	301.38	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vsc-28f	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VSC-28T	VOSCO		Vosco Dondurma Makinesi 3 Kollu (Soft) Set Üstü	182819.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	139169.0	318.83	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vsc-28t	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VST-16EB	VOSCO		Vosco Dondurma Makinesi Tek Kollu (Soft) Set Üstü (Beyaz)	198055.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	154405.0	353.73	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vst-16eb	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VST-16EM	VOSCO		Vosco Dondurma Makinesi Tek Kollu (Soft) Set Üstü (Mavi)	198055.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	154405.0	353.73	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vst-16em	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VST-16ES	VOSCO		Vosco Dondurma Makinesi Tek Kollu (Soft) Set Üstü (Sarı)	198055.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	154405.0	353.73	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vst-16es	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VSC-32F	VOSCO		Vosco Pro Soft Dondurma Makinesi (Üç Kollu)	175202.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	131552.0	301.38	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vsc-32f	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
HAZIRLIK	Vosco	Hazırlık	Dondurma Makineleri	VSC-32T	VOSCO		Vosco Pro Soft Dondurma Makinesi Set Üstü (Üç Kollu)	182819.0	Vosco VSL FRT2C08B Elektrikli İndüksiyonlu Fritöz, Çiftli, 8+8 Litre, 58x52x41,8 cm	43650	139169.0	318.83	ANOMALI	BRAND_SPECS	MEDIUM	IN_STOCK	https://equsto.com/shop/vsc-32t	https://www.mutbex.com/vosco-vsl-frt2c08b-elektrikli-induksiyonlu-fritoz-ciftli-88-litre-58x52x418-cm	match_method=BRAND_SPECS; mutbex_code=281.VSL.FRT2C08B
