count	ad	bolum	bolumAd	files
46	DUVAR RAFI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-80-150.json; balikci-mahalle.json; birahane-100-300.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json; restoran-500-1000.json
36	İSTİF RAFI			all-day-dining-cafe-150-300.json; birahane-100-300.json; hotdog-kiosk-kiosk.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json; restoran-500-1000.json; sarkuteri-kiosk-kiosk.json; sushi-40-100.json
26	ÇÖP ARABASI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-80-150.json; balikci-mahalle.json; birahane-100-300.json; coffee-shop-referans-ekipman-listesi.json; coffee-shop-referans.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json
24	YER IZGARASI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-mahalle.json; birahane-100-300.json; coffee-shop-referans-ekipman-listesi.json; hamburger-kiosk-60-100.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json
19	PANEL TİP SOĞUK ODA			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-80-150.json; balikci-mahalle.json; birahane-100-300.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json; restoran-500-1000.json
17	BIÇAK STERİL DOLABI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-80-150.json; balikci-mahalle.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
14	DEPO TİPİ BUZDOLABI, TEK KAPILI			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
13	YER IZGARASI	Y	Y- YER IZGARASI	balikci-150-250.json; casual-cafe-50-150.json; guneli-pastane-200-400.json; harvest-cafe-100-200.json; inari-bar-yemek-100-200.json; kahve-atolyesi-80-150.json; sarkuteri-kiosk-kiosk.json; tavukcu-80-150.json
12	DİZDEN KUMANDALI EL YIKAMA LAVABOSU			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-80-150.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
11	İSTİP RAFI			balikci-150-250-ekipman-listesi.json; balikci-80-150.json; balikci-mahalle.json
10	SİNEK ÖLDÜRÜCÜ			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; birahane-100-300.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
9	YAĞ TUTUCU			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-mahalle.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; restoran-500-1000.json; steakhouse-150-250.json
8	BASKET RAFI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; balikci-mahalle.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; restoran-500-1000.json
8	YER IZGARASI	Y	YER IZGARASI	kahve-duragi-pastane-100-200.json; kasap-100-250.json; kasap-sarkuteri-100-250.json; sehir-otel-500-2000-topkapi.json
8	DUVAR RAFİ			steakhouse-150-250.json; steakhouse-80-150.json
7	ÇAY OTOMATI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; steakhouse-150-250.json; steakhouse-80-150.json
7	ÖN YIKAMA DUŞU			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; restoran-500-1000.json; steakhouse-150-250.json
7	YER IZGARASI, B2 SIĞ TİP	YER_IZGARALA	YER IZGARALARI	buyuk-yemekhane-2000-3500.json
7	İSTİF RAFİ			steakhouse-150-250.json; steakhouse-80-150.json
6	4 AÇIK ALEVLİ OCAK, GAZLI, SETÜSTÜ			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; restoran-500-1000.json; steakhouse-80-150.json
6	TOST MAKİNASI			all-day-dining-cafe-150-300.json; balikci-150-250-ekipman-listesi.json; birahane-100-300.json; italyan-100-300.json; italyan-150-300.json; restoran-500-1000.json
5	ET KÜTÜĞÜ			all-day-dining-cafe-150-300.json; italyan-150-300.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
5	LAVTAŞLI IZGARA, GAZLI, SETÜSTÜ			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json; pideci-100-250.json; steakhouse-80-150.json
5	BAR MİKSER			all-day-dining-cafe-150-300.json; coffee-shop-referans-ekipman-listesi.json; coffee-shop-referans.json; italyan-100-300.json; italyan-150-300.json
5	PORTAKAL SIKMA MAKİNASI			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json; pastane-100-200.json; pideci-100-250.json
5	MAKE-UP ÜNİTESİ, 3 KAPILI			balikci-150-250-ekipman-listesi.json; pideci-100-250.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
5	FRİTÖZ, ÇİFT SEPETLİ, ELK., SETÜSTÜ			birahane-100-300.json; italyan-100-300.json; restoran-500-1000.json; steakhouse-150-250.json; steakhouse-80-150.json
5	BUZ MAKİNASI			birahane-100-300.json; coffee-shop-referans-ekipman-listesi.json; coffee-shop-referans.json; italyan-100-300.json; pideci-100-250.json
5	PANEL TİP SOĞUK ODA	B	B- SOĞUK ODA	harvest-cafe-100-200.json; hotdog-kiosk-kiosk.json; sarkuteri-kiosk-kiosk.json; sushi-40-100.json; tavukcu-80-150.json
5	İSTİF RAFI	B	B- SOĞUK ODA	hotdog-kiosk-kiosk.json; sarkuteri-kiosk-kiosk.json; sushi-40-100.json; tavukcu-80-150.json
4	DUVAR RAFI	M	M- MUTFAK	balikci-150-250.json; kahve-atolyesi-80-150.json
4	DUVAR RAFI, YÜKSEL	SICAK_MUTFAK	SICAK MUTFAK	buyuk-yemekhane-2000-3500.json
4	DUVAR RAFI, YÜKSEL	KAHVALTI_SOĞ	KAHVALTI SOĞUK MUTFAK	buyuk-yemekhane-2000-3500.json
4	TEL RAF 4 KATLI	M	M- DEPOLAR	kahve-duragi-100-200.json; kahve-duragi-150-200.json
4	DUVAR RAFI	M	MUTFAK	kahve-duragi-pastane-100-200.json
4	PASLANMAZ TABLA	Z	ZEMİN KAT SATIŞ ALANI	kasap-100-250.json; kasap-sarkuteri-100-250.json
4	YER IZGARASI	y	y- yer ızgarası	pizzaci-200-500.json; pizzaci-80-200.json
4	DUVAR RAFI	R	RESTAURANT MUTFAĞI	sehir-otel-500-2000-topkapi.json
3	PANEL TİP DERİN DONDURUCU DEPO			all-day-dining-cafe-150-300.json; italyan-150-300.json; restoran-500-1000.json
3	PİZZA FIRINI, ÇİFT KATLI			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json
3	2 AÇIK ALEVLİ OCAK, GAZLI, SETÜSTÜ			all-day-dining-cafe-150-300.json; italyan-150-300.json; restoran-500-1000.json
3	TAVA RAFI			all-day-dining-cafe-150-300.json; italyan-100-300.json; italyan-150-300.json
