file	poz	ad	bolum	bolumAd
all-day-dining-cafe-150-300.json	A1	İSTİF RAFI		
all-day-dining-cafe-150-300.json	A2	İSTİF RAFI		
all-day-dining-cafe-150-300.json	B1	PANEL TİP SOĞUK ODA		
all-day-dining-cafe-150-300.json	B2	İSTİF RAFI		
all-day-dining-cafe-150-300.json	B3	İSTİF RAFI		
all-day-dining-cafe-150-300.json	C1	PANEL TİP DERİN DONDURUCU DEPO		
all-day-dining-cafe-150-300.json	C2	İSTİF RAFI		
all-day-dining-cafe-150-300.json	D1	DEPO TİPİ BUZDOLABI, TEK KAPILI		
all-day-dining-cafe-150-300.json	D2	ET KÜTÜĞÜ		
all-day-dining-cafe-150-300.json	D3	BIÇAK STERİL DOLABI		
all-day-dining-cafe-150-300.json	D5	DUVAR RAFI		
all-day-dining-cafe-150-300.json	D7	DUVAR RAFI		
all-day-dining-cafe-150-300.json	D9	DUVAR RAFI		
all-day-dining-cafe-150-300.json	D10	ÇÖP ARABASI		
all-day-dining-cafe-150-300.json	E1	DİZDEN KUMANDALI EL YIKAMA LAVABOSU		
all-day-dining-cafe-150-300.json	E2	DEPO TİPİ BUZDOLABI, TEK KAPILI		
all-day-dining-cafe-150-300.json	E3	PİZZA FIRINI, ÇİFT KATLI		
all-day-dining-cafe-150-300.json	E5	HAMUR YOĞURMA MAKİNASIİ DOMINO		
all-day-dining-cafe-150-300.json	E7	MAKE-UP PİZZA HAZIRLIK BUZDOLABI, 3 KAPILI, MERMER TABLALI		
all-day-dining-cafe-150-300.json	E9	SİNEK ÖLDÜRÜCÜ		
all-day-dining-cafe-150-300.json	F1	DİZDEN KUMANDALI EL YIKAMA LAVABOSU		
all-day-dining-cafe-150-300.json	F2	DEPO TİPİ BUZDOLABI, TEK KAPILI		
all-day-dining-cafe-150-300.json	F4	DUVAR RAFI		
all-day-dining-cafe-150-300.json	F6	DUVAR RAFI		
all-day-dining-cafe-150-300.json	F8	MAKE-UP ÜNİTESİ, 2 KAPILI		
all-day-dining-cafe-150-300.json	G1	DEPO TİPİ BUZDOLABI, TEK KAPILI		
all-day-dining-cafe-150-300.json	G3	FRİTÖZ, ÇİFT SEPETLİ, ELK. SETÜSTÜ		
