sku,name,dept,equsto_tl,mutbex_tl,cafemarkt_tl,eq_vs_mut_pct,eq_vs_cafe_pct,en_ucuz,mutbex_url
7864.10502.05,"KOMURLU IZGARA DAVLUMBAZLI 100*50",davlumbaz,31518,36474,,-13.6,,equsto,https://www.mutbex.com/oztiryakiler-komurlu-davlumbazli-izgara-10050
7885.15155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 150*150",davlumbaz,52481,,67888,,-22.7,equsto,
7885.20155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 200*150",davlumbaz,59358,,76785,,-22.7,equsto,
7885.25155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 250*150",davlumbaz,82524,,106752,,-22.7,equsto,
7885.30155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 300*150",davlumbaz,83676,,108243,,-22.7,equsto,
7885.35155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 350*150",davlumbaz,107765,,139405,,-22.7,equsto,
7885.40155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 400*150",davlumbaz,105383,,136323,,-22.7,equsto,
7885.45155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 450*150",davlumbaz,129798,,167907,,-22.7,equsto,
7885.50155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 500*150",davlumbaz,129740,,167832,,-22.7,equsto,
7885.55155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 550*150",davlumbaz,142708,,184605,,-22.7,equsto,
7885.60155.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 600*150",davlumbaz,152831,,197701,,-22.7,equsto,
7885.25205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 250*200",davlumbaz,88171,,114058,,-22.7,equsto,
7885.35205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 350*200",davlumbaz,115795,,149791,,-22.7,equsto,
7885.40205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 400*200",davlumbaz,122154,,158017,,-22.7,equsto,
7885.45205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 450*200",davlumbaz,138808,,179561,,-22.7,equsto,
7885.50205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 500*200",davlumbaz,149891,,193899,,-22.7,equsto,
7885.55205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 550*200",davlumbaz,164452,,212735,,-22.7,equsto,
7885.60205.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 600*200",davlumbaz,176113,,227818,,-22.7,equsto,
7885.25255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 250*250",davlumbaz,100639,,130185,,-22.7,equsto,
7885.30255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 300*250",davlumbaz,111089,,143703,,-22.7,equsto,
7885.40255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 400*250",davlumbaz,139019,,179834,,-22.7,equsto,
7885.45255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 450*250",davlumbaz,157556,,203814,,-22.7,equsto,
7885.50255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 500*250",davlumbaz,170081,,220016,,-22.7,equsto,
7885.55255.10,"DAVLUMBAZ ORTA TİP FİLTRELİ 550*250",davlumbaz,186313,,241013,,-22.7,equsto,
7885.15105.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 150*100",davlumbaz,22648,,29297,,-22.7,equsto,
7885.20105.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 200*100",davlumbaz,26816,,34689,,-22.7,equsto,
7885.25105.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 250*100",davlumbaz,31926,,41300,,-22.7,equsto,
7885.30105.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 300*100",davlumbaz,36095,,46692,,-22.7,equsto,
7885.40105.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 400*100",davlumbaz,47410,,61328,,-22.7,equsto,
7885.15125.01,"DAVLUMBAZ DUVAR TİPİ FİLTRESİZ 150*120",davlumbaz,24646,,31882,,-22.7,equsto,
