sira;model;sku;site_tl;oneri_tl;tl_fark;site_liste_eur;oneri_liste_eur;pdf_liste_eur;mut_liste_eur;pdf_page_order;desc_vs_specs;durum
1;DVF-01;118.DVF-01;1382;1382;0;43;43;1000;43;0;0;ok, pdf_mut_catisma, pdf_yuksek
2;BL-25;118.BL25;8679;8679;0;270;270;270;348.3;0;0;ok, pdf_mut_catisma, pdf_dusuk
3;BL-25C;118.BL25C;13500;13500;0;420;420;420;541.8;0;0;ok, pdf_mut_catisma, pdf_dusuk
4;BL-25L-35;118.BL25L35;9322;9322;0;290;290;290;374.1;0;0;ok, pdf_mut_catisma, pdf_dusuk
5;BL-25L-35C;118.BL25L35C;14143;14143;0;440;440;440;567.6;0;0;ok, pdf_mut_catisma, pdf_dusuk
6;BL-40;118.BL40;12857;12857;0;400;400;400;516;0;0;ok, pdf_mut_catisma, pdf_dusuk
7;BL-40C;118.BL40C;13500;13500;0;420;420;420;709.5;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
8;BL-40L-50;118.BL40L50;9322;9322;0;290;290;290;548.25;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
9;BL-40L-50C;118.BL40L50C;14143;14143;0;440;440;440;741.75;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
10;BL-40L-60;118.BL40L60;7232;7232;0;225;225;225;580.5;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
11;BL-40L-60C;118.BL40L60C;8036;8036;0;250;250;250;774;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
12;BS-01;118.BS.01;9643;9643;0;300;300;300;387;0;0;ok, pdf_mut_catisma, pdf_dusuk
13;EMH-15;118.EMH15;29025;29025;0;903;903;;903;0;0;ok, mutbex_only
14;DY-01;118.DY.01;208931;208931;0;6500;6500;6500;8385;0;0;ok, pdf_mut_catisma, pdf_dusuk
15;DY-02;118.DY.02;385719;385719;0;12000;12000;12000;15480;0;0;ok, pdf_mut_catisma, pdf_dusuk
16;DY-04;118.DY.04;642865;642865;0;20000;20000;20000;25800;0;0;ok, pdf_mut_catisma, pdf_dusuk
17;GGM;118.GGM;68417;68417;0;2128.5;2128.5;;2128.5;0;0;ok, mutbex_only
18;GGM-M-20;118.GGM.M20;35358;35358;0;1100;1100;1100;2386.5;0;0;ok, pdf_mut_catisma, pdf_dusuk
19;GGM-M-30;118.GGM.M30;41786;41786;0;1300;1300;1300;3031.5;0;0;ok, pdf_mut_catisma, pdf_dusuk
20;MS-10;118.MS10;27322;27322;0;850;850;850;1096.5;0;0;ok, pdf_mut_catisma, pdf_dusuk
21;AAMH-300;118.AAMH300;78783;78783;0;2451;2451;;2451;0;0;ok, mutbex_only
22;VM-01;286.VM01;9643;9643;0;300;300;300;387;0;0;ok, pdf_mut_catisma, pdf_dusuk
23;SFT-01;118.SFT.01;32143;32143;0;1000;1000;1000;1290;0;0;ok, pdf_mut_catisma, pdf_dusuk
24;SFT-02-PRO;118.SFT.02.Pro;144645;144645;0;4500;4500;4500;5805;0;0;ok, pdf_mut_catisma, pdf_dusuk
25;SFT-03-PRO;118.SFT.03.Pro;151073;151073;0;4700;4700;4700;6063;0;0;ok, pdf_mut_catisma, pdf_dusuk
26;SEMG-16K;118.SEMG.16K;145127;145127;0;4515;4515;;4515;0;0;ok, mutbex_only
27;MS-07;118.MS07;24107;24107;0;750;750;750;967.5;0;0;ok, pdf_mut_catisma, pdf_dusuk
28;STRC;118.STRC;7464;7464;0;232.2;232.2;;232.2;0;0;ok, mutbex_only
29;WM-2;WM-2;57858;57858;0;1800;1800;1800;;0;0;ok, pdf_only
30;VM-3;VM-3;77144;77144;0;2400;2400;2400;;0;0;ok, pdf_only
31;40-LB;118.40.LB;29025;29025;0;903;903;;903;0;0;ok, mutbex_only
32;40-LK-AS;118.40.LK.AS;6107;6107;0;190;190;190;1548;0;1;ok, desc_specs_fark, pdf_mut_catisma, pdf_dusuk
33;40-LK;118.40.LK;38572;38572;0;1200;1200;1200;1032;0;1;ok, desc_specs_fark
34; IC-80A;118. IC80A;22500;22500;0;700;700;700;903;0;0;ok, pdf_mut_catisma, pdf_dusuk
