Sıra;Model;SKU;Ürün adı;Dept;Durum;Equsto kaynak;PDF liste EUR;Mutbex liste EUR;Fark EUR (Mut−PDF);Fark %;PDF daha ucuz;Equsto satış EUR;PDF satış EUR;Mutbex satış EUR;Satış fark EUR;Equsto TL (KDV dahil)
1;BL-40L-60C;118.BL40L60C;"Senox BL40L60 El Blenderı, 600 mm, Combi Model";hazirlik;Her iki kaynak;PDF;250;774;524;67.7;Evet;125;125;387;262;8028
2;GGM-M-30;118.GGM.M30;"Senox GGM M30 Planet Mikser, 30 lt";hazirlik;Her iki kaynak;PDF;1300;3031.5;1731.5;57.1;Evet;650;650;1515.75;865.75;41744
3;GGM-M-20;118.GGM.M20;"Senox GGM M20 Planet Mikser, 20 lt";hazirlik;Her iki kaynak;PDF;1100;2386.5;1286.5;53.9;Evet;550;550;1193.25;643.25;35322
4;SRB-15X-3;118.SRB.15X3;"Senox SRB15x3 Soğuk İçecek Dispenseri, 3 Hazneli, 15x3 lt";icecek;Her iki kaynak;PDF;700;1419;719;50.7;Evet;350;350;709.5;359.5;22478
5;BL-40L-50;118.BL40L50;"Senox BL40L50 El Blenderı, 500 mm";hazirlik;Her iki kaynak;PDF;290;548.25;258.25;47.1;Evet;145;145;274.13;129.13;9312
6;BL-40C;118.BL40C;"Senox BL40C El Blenderı, 400 mm, Combi Model";hazirlik;Her iki kaynak;PDF;420;709.5;289.5;40.8;Evet;210;210;354.75;144.75;13487
7;BL-40L-50C;118.BL40L50C;"Senox BL40L50C El Blenderı,50 mm, Combi Model";hazirlik;Her iki kaynak;PDF;440;741.75;301.75;40.7;Evet;220;220;370.88;150.88;14129
8;MC-30;118.MC30;"Senox Mikrodalga Fırın, 53,6x44,2x39 cm, 30 Litre, 900 W";set-ustu-mutfak;Her iki kaynak;PDF;320;516;196;38;Evet;160;160;258;98;10275
9;WN-350;118.WN.350;"Senox Şarap Soğutma Dolabı, WN 350";sogutma;Her iki kaynak;PDF;1450;2193;743;33.9;Evet;725;725;1096.5;371.5;46561
10;SYD-410;118.SYD410;"Senox 7 Gözlü Dondurma Reyonu, 283 lt, 131,1x65x85 cm";sogutma;Her iki kaynak;PDF;1300;1935;635;32.8;Evet;650;650;967.5;317.5;41744
11;SNX-25-B;118.SNX.25.B;"Senox Askı Tip Isıtıcı Lamba, Bronz SNX 25 B";servis;Her iki kaynak;PDF;300;425.7;125.7;29.5;Evet;150;150;212.85;62.85;9633
12;SNX-25-C;118.SNX.25.C;"Senox Askı Tip Isıtıcı Lamba, Gümüş, SNX 25 C";servis;Her iki kaynak;PDF;300;425.7;125.7;29.5;Evet;150;150;212.85;62.85;9633
13;SNX-25-S;118.SNX25.S;"Senox Askı Tip Isıtıcı Lamba, Siyah, SNX 25 S";servis;Her iki kaynak;PDF;300;425.7;125.7;29.5;Evet;150;150;212.85;62.85;9633
14;BBCS-350;118.BBCS.350;"Senox 3 Sürgülü Kapılı Bar Altı Şişe Soğutucu , 135x50,5x85 cm";sogutma;Her iki kaynak;PDF;1500;2064;564;27.3;Evet;750;750;1032;282;48166
15;SYD-510;118.SYD510;"Senox 8 Gözlü Dondurma Reyonu, 300 lt, 151,4x65x85 cm";sogutma;Her iki kaynak;PDF;1500;2064;564;27.3;Evet;750;750;1032;282;48166
16;BBCS-250;118.BBCS.250;"Senox 2 Sürgülü Kapılı Bar Altı Şişe Soğutucu , Siyah, 90x50,5x85 cm";sogutma;Her iki kaynak;PDF;1250;1677;427;25.5;Evet;625;625;838.5;213.5;40139
17;BL-25;118.BL25;"Senox BL 25 El Blenderı, 300 mm";hazirlik;Her iki kaynak;PDF;270;348.3;78.3;22.5;Evet;135;135;174.15;39.15;8670
18;BL-25C;118.BL25C;"Senox BL 25C El Blenderı, 300 mm, Combi Model";hazirlik;Her iki kaynak;PDF;420;541.8;121.8;22.5;Evet;210;210;270.9;60.9;13487
19;BL-25L-35;118.BL25L35;"Senox BL25 L35 El Blenderı, 350 mm";hazirlik;Her iki kaynak;PDF;290;374.1;84.1;22.5;Evet;145;145;187.05;42.05;9312
20;BL-25L-35C;118.BL25L35C;"Senox BL25 L35C El Blenderı, 350 mm, Combi Model";hazirlik;Her iki kaynak;PDF;440;567.6;127.6;22.5;Evet;220;220;283.8;63.8;14129
21;BL-40;118.BL40;"Senox BL40 El Blenderı, 400 mm";hazirlik;Her iki kaynak;PDF;400;516;116;22.5;Evet;200;200;258;58;12844
22;BL-40L-60;118.BL40L60;"Senox BL40L60 El Blenderı, 600 mm";hazirlik;Her iki kaynak;PDF;450;580.5;130.5;22.5;Evet;225;225;290.25;65.25;14450
23;DY-01;118.DY.01;"Senox DY 01 Tek Hazneli Dondurma Yapıcı, 15 lt/saat Kapasiteli";hazirlik;Her iki kaynak;PDF;6500;8385;1885;22.5;Evet;3250;3250;4192.5;942.5;208721
24;DY-02;118.DY.02;"Senox DY 02 Çift Hazneli Dondurma Yapıcı, Çift Hazneli, 30 lt/saat Kapasiteli";hazirlik;Her iki kaynak;PDF;12000;15480;3480;22.5;Evet;6000;6000;7740;1740;385331
25;DY-04;118.DY.04;"Senox DY 04 Dört Hazneli Dondurma Yapıcı, 4 Hazneli, 60 lt/saat Kapasiteli";hazirlik;Her iki kaynak;PDF;20000;25800;5800;22.5;Evet;10000;10000;12900;2900;642218
26;MS-10;118.MS10;"Senox MS10 Set Üstü Stand Mikser, 10 lt, 500 w";hazirlik;Her iki kaynak;PDF;850;1096.5;246.5;22.5;Evet;425;425;548.25;123.25;27294
27;VM-01;286.VM01;"Senox Seles Mini Vakum Makinesi, VM 01";hazirlik;Her iki kaynak;PDF;300;387;87;22.5;Evet;150;150;193.5;43.5;9633
28;SFT-01;118.SFT.01;"Senox SFT 01 Soft Dondurma Makinesi, 1,2 lt Hazneli";hazirlik;Her iki kaynak;PDF;1000;1290;290;22.5;Evet;500;500;645;145;32111
29;SFT-02-PRO;118.SFT.02.Pro;"Senox SFT 02 Pro Soft Dondurma Makinesi, 6x2 lt Hazneli";hazirlik;Her iki kaynak;PDF;4500;5805;1305;22.5;Evet;2250;2250;2902.5;652.5;144499
30;SFT-03-PRO;118.SFT.03.Pro;"Senox SFT 03 Pro Soft Dondurma Makinesi, 5,5x2 lt Hazneli";hazirlik;Her iki kaynak;PDF;4700;6063;1363;22.5;Evet;2350;2350;3031.5;681.5;150921
31;MS-07;118.MS07;"Senox Stand Mikser Mutfak Şefi 7 L, MS07";hazirlik;Her iki kaynak;PDF;750;967.5;217.5;22.5;Evet;375;375;483.75;108.75;24083
32;40-LK-AS;118.40.LK.AS;"Senox 40 LK AS Arıtmalı Su Sebili, Krom, 40 lt";icecek;Her iki kaynak;PDF;1200;1548;348;22.5;Evet;600;600;774;174;38533
33;40-LK;118.40.LK;"Senox 40 LK Su Sebili, Krom, 40 lt";icecek;Her iki kaynak;PDF;800;1032;232;22.5;Evet;400;400;516;116;25689
34; IC-80A;118. IC80A;"Senox Buz Kırıcı, Paslanmaz Çelik Hazne, 3 Litre, IC80A";icecek;Her iki kaynak;PDF;700;903;203;22.5;Evet;350;350;451.5;101.5;22478
35;DS-01;118.DS.01;"Senox DS-01 Sıcak Soğuk Su Sebili, Üstten Damacanalı";icecek;Her iki kaynak;PDF;190;245.1;55.1;22.5;Evet;95;95;122.55;27.55;6101
36;KM-01;118.KM01;"Senox Km01 Katı Meyve Sıkacağı, 1000 w";icecek;Her iki kaynak;PDF;400;516;116;22.5;Evet;200;200;258;58;12844
37;KA-18;118.KA18;"Senox Set Üstü Köpüklü Ayran Makinesi, 18 L, KA 18";icecek;Her iki kaynak;PDF;1880;2425.2;545.2;22.5;Evet;940;940;1212.6;272.6;60369
38;KA-30;118.KA30;"Senox Set Üstü Köpüklü Ayran Makinesi, 30 L, KA 30";icecek;Her iki kaynak;PDF;1800;2322;522;22.5;Evet;900;900;1161;261;57800
39;SLS-01;118.SLS.01;"Senox SLS 01 Tekli Slush Makinesi, 12 lt";icecek;Her iki kaynak;PDF;1600;2064;464;22.5;Evet;800;800;1032;232;51377
40;SLS-02;118.SLS.02;"Senox SLS 02 Çiftli Slush Makinesi, 12x2 lt";icecek;Her iki kaynak;PDF;2100;2709;609;22.5;Evet;1050;1050;1354.5;304.5;67433
