model;sku;fix_tip;before_kaynak;after_kaynak;pdf_liste_eur;mut_liste_eur;before_tl;after_tl;diff_tl;pdf_key
160LK;118.160LK;price_up;senox-pdf-2026-1;senox-pdf-2026-1;2800;3612;25884;90809;64925;160LK
40-LK-AS;118.40.LK.AS;price_up;senox-pdf-2026-1;senox-pdf-2026-1;1200;1548;6147;38918;32771;40LKAS
80LK-AS;118.80LK.AS;price_up;senox-pdf-2026-1;senox-pdf-2026-1;1400;1806;17795;45404;27609;80LKAS
BL-40L-60C;118.BL40L60C;price_up;senox-pdf-2026-1;senox-pdf-2026-1;600;774;8089;19459;11370;BL40L60C
BL-40L-60;118.BL40L60;price_up;senox-pdf-2026-1;senox-pdf-2026-1;450;580.5;7280;14594;7314;BL40L60
DT-24;118.DT.24;price_down;senox-pdf-2026-1;senox-pdf-2026-1;22000;28380;711801;713496;1695;DT24
DY-04;118.DY.04;price_down;senox-pdf-2026-1;senox-pdf-2026-1;20000;25800;647092;648632;1540;DY04
DT-18;118.DT.18;price_down;senox-pdf-2026-1;senox-pdf-2026-1;18000;23220;582382;583769;1387;DT18
DT-12;118.DT.12;price_down;senox-pdf-2026-1;senox-pdf-2026-1;14000;18060;452964;454043;1079;DT12
DT-13;118.DT.13;price_down;senox-pdf-2026-1;senox-pdf-2026-1;14000;18060;452964;454043;1079;DT13
HIJYENB-TF;118.HIJYENB.TF;price_down;senox-mutbex-liste;senox-mutbex-liste;;12900;417374;418368;994;
CKM-180T;118.CKM.180T;price_down;senox-mutbex-liste;senox-mutbex-liste;;12900;417374;418368;994;
DY-02;118.DY.02;price_down;senox-pdf-2026-1;senox-pdf-2026-1;12000;15480;388255;389179;924;DY02
HIJYENB;118.HIJYENB;price_down;senox-mutbex-liste;senox-mutbex-liste;;11610;375637;376531;894;
DP-98;118.DP.98;price_down;senox-mutbex-liste;senox-mutbex-liste;;11610;375637;376531;894;
CKM-150T;118.CKM.150T;price_down;senox-mutbex-liste;senox-mutbex-liste;;10965;354768;355613;845;
ADA-210T;118.ADA.210T;price_down;senox-mutbex-liste;senox-mutbex-liste;;10320;333899;334694;795;
KO-180T;118.KO.180T;price_down;senox-mutbex-liste;senox-mutbex-liste;;10320;333899;334694;795;
DT-600;118.DT.600;price_down;senox-pdf-2026-1;senox-pdf-2026-1;10000;12900;323546;324316;770;DT600
DT-9;118.DT.9;price_down;senox-pdf-2026-1;senox-pdf-2026-1;10000;12900;323546;324316;770;DT9
CKM-120T;118.CKM.120T;price_down;senox-mutbex-liste;senox-mutbex-liste;;9030;292162;292858;696;
PST-200T;118.PST.200T;price_down;senox-mutbex-liste;senox-mutbex-liste;;9030;292162;292858;696;
KO-150T;118.KO.150T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;8000;8514;258837;259453;616;KO150T
KOE-180T;118.KOE.180T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;8000;10320;258837;259453;616;KOE180T
PST-150T;118.PST.150T;price_down;senox-mutbex-liste;senox-mutbex-liste;;7740;250424;251021;597;
MT-213;118.MT.213;price_down;senox-mutbex-liste;senox-mutbex-liste;;7095;229556;230102;546;
KOE-150T;118.KOE.150T;price_down;senox-pdf-2026-1;senox-pdf-2026-1;6600;8514;213540;214049;509;KOE150T
DY-01;118.DY.01;price_down;senox-pdf-2026-1;senox-pdf-2026-1;6500;8385;210305;210806;501;DY01
DP-360;118.DP.360;price_down;senox-mutbex-liste;senox-mutbex-liste;;6450;208687;209184;497;
DT-8;118.DT.8;price_down;senox-pdf-2026-1;senox-pdf-2026-1;6000;7740;194127;194590;463;DT8
DP-600;118.DP.600;price_down;senox-mutbex-liste;senox-mutbex-liste;;5805;187818;188266;448;
ICT-130;118.ICT.130;price_down;senox-mutbex-liste;senox-mutbex-liste;;5805;187818;188266;448;
400LK;118.400LK;price_down;senox-pdf-2026-1;senox-pdf-2026-1;5700;6708;184421;184860;439;400LK
500-LK;118.500.LK;price_down;senox-pdf-2026-1;senox-pdf-2026-1;5700;7353;184421;184860;439;500LK
