model;sku;name;liste_eur;satis_eur;fiyat_tl;kaynak;id;dept;group
300-COMBİ;118.300.COMBİ;"Senox 300 Combi Bar Tipi Soğutucu Dolap, 145 L,";2386.5;1288.71;86248;senox-mutbex-liste;senox__senox-300-combi;sogutma.json;mutbex-only
40-LB;118.40.LB;"Senox 40 LB Su Sebili, Boyalı Galvaniz, 40 lt";903;487.62;32634;senox-mutbex-liste;senox__senox-40-lb;icecek.json;mutbex-only
7000.SILVER;7000.SILVER;"Senox 7000 Silver Statik Dik Tip Derin Dondurucu, 7 Çekmeceli, Gri";;;30033.48;cafemarkt-plp;senox__7000-silver;sogutma.json;other
7300A;118.7300A;"Senox Statik 7 Çekmeceli Derin Dondurucu, 7300A";967.5;522.45;34965;senox-mutbex-liste;senox__senox-7300a;sogutma.json;mutbex-only
7301-G;118.7301.G;"Senox Fanlık Soğutmalı 7 Çekmeceli Derin Dondurucu, Gri 7301";1096.5;592.11;39627;senox-mutbex-liste;senox__senox-7301-g;sogutma.json;mutbex-only
7301-S;118.7301.S;"Senox 7301 NF Fanlı Soğutmalı 7 Çekmeceli Derin Dondurucu, Siyah";1096.5;592.11;39627;senox-mutbex-liste;senox__senox-7301-s;sogutma.json;mutbex-only
8060-MCC;118.8060.MCC;"Senox Sıcak Teşhir Ünitesi, SNX8060 MCC";1741.5;940.41;62938;senox-mutbex-liste;senox__senox-8060-mcc;servis.json;mutbex-only
8060-PPNC;118.8060.PPNC;"Senox Sıcak Teşhir Ünitesi, SNX8060 PPNC";1935;1044.9;69931;senox-mutbex-liste;senox__senox-8060-ppnc;servis.json;mutbex-only
AAMH-300;118.AAMH300;"Senox Otomatik Gıda Dilimleme Makinesi, AAMH300";2451;1323.54;88579;senox-mutbex-liste;senox__senox-aamh-300;hazirlik.json;mutbex-only
ADA-210T;118.ADA.210T;"Senox ADA 210T Ada Tipi Soğuk Teşhir Dolabı, 210x90x92 cm";10320;5572.8;372964;senox-mutbex-liste;senox__senox-ada-210t;sogutma.json;mutbex-only
ADY.30;ADY.30;"Senox ADY-30 Set Üstü Köpüklü Ayran Makinesi, 30 L";;;83198.08;cafemarkt-plp;senox__ady-30;hazirlik.json;other
BBL-02;118.BBL.02;"Şenox BBL 02 Bar Blender";645;348.3;23310;senox-mutbex-liste;senox__senox-bbl-02;icecek.json;mutbex-only
BLK-01-110;118.BLK01.110;"Senox BLK01 Teşhir Reyonu, 110x80x80 cm";4128;2229.12;149186;senox-mutbex-liste;senox__senox-blk-01-110;sogutma.json;mutbex-only
BLK-01-90;118.BLK01.90;"Senox BLK01 Teşhir Reyonu, 90x80x80 cm";3934.5;2124.63;142193;senox-mutbex-liste;senox__senox-blk-01-90;sogutma.json;mutbex-only
