model;fix_tip;before_tl;after_tl;diff_tl;before_iskonto;after_iskonto;pdf_usd;pdf_eur;kaynak
VXY-SJ15X2S;site_tl;74672;83667;8995;52;52;;;vosco-site-tl
VXY-SJ15X2SR;site_tl;74672;83667;8995;52;52;;;vosco-site-tl
VKM-NG5R;fiyat;31226;39522;8296;52;52;1450;0;vosco-pdf-2026
VXY-SJ15X1S;site_tl;54307;60848;6541;52;52;;;vosco-site-tl
VXY-SJ15X1SR;site_tl;54307;60848;6541;52;52;;;vosco-site-tl
VKM-G5R;site_tl;33942;40105;6163;52;52;;;vosco-site-tl
VKM-G4R;site_tl;31226;34573;3347;52;52;;;vosco-site-tl
VSC-500C;fiyat;244379;245310;931;52;52;9000;0;vosco-pdf-2026
VSC-250C;fiyat;203650;204425;775;52;52;7500;0;vosco-pdf-2026
VSC-200C;fiyat;190073;190797;724;52;52;7000;0;vosco-pdf-2026
VSC-28F;fiyat;176496;177168;672;52;52;6500;0;vosco-pdf-2026
VSC-32F;fiyat;176496;177168;672;52;52;6500;0;vosco-pdf-2026
VSC-150C;fiyat;176496;177168;672;52;52;6500;0;vosco-pdf-2026
VSC-6;site_tl;679;1337;658;52;52;;;vosco-site-tl
VXY-PT965S;fiyat;162920;163540;620;52;52;6000;0;vosco-pdf-2026
VSC-28T;fiyat;156131;156726;595;52;52;5750;0;vosco-pdf-2026
VSC-32T;fiyat;156131;156726;595;52;52;5750;0;vosco-pdf-2026
VWJG-8P;fiyat;123547;124018;471;52;52;4550;0;vosco-pdf-2026
VWJG-7P;fiyat;114044;114478;434;52;52;4200;0;vosco-pdf-2026
VST-16EB;fiyat;104540;104938;398;52;52;3850;0;vosco-pdf-2026
VST-16EM;fiyat;104540;104938;398;52;52;3850;0;vosco-pdf-2026
VST-16ES;fiyat;104540;104938;398;52;52;3850;0;vosco-pdf-2026
VWJG-6P;fiyat;104540;104938;398;52;52;3850;0;vosco-pdf-2026
VSC-600B;site_tl;950;1337;387;52;52;;;vosco-site-tl
VICM-15A;site_tl;20365;20744;379;52;52;;;vosco-site-tl
VSC-120C;fiyat;97752;98124;372;52;52;3600;0;vosco-pdf-2026
VXY-SJ15X3S;fiyat;95036;95398;362;52;52;3500;0;vosco-pdf-2026
VXY-SJ15X3SR;fiyat;95036;95398;362;52;52;3500;0;vosco-pdf-2026
VSC-100B;fiyat;88248;88584;336;52;52;3250;0;vosco-pdf-2026
VSC-100C;fiyat;88248;88584;336;52;52;3250;0;vosco-pdf-2026
VSC-100T;fiyat;88248;88584;336;52;52;3250;0;vosco-pdf-2026
FT-280LB;fiyat;80102;80407;305;52;52;2950;0;vosco-pdf-2026
FT-280LS;fiyat;80102;80407;305;52;52;2950;0;vosco-pdf-2026
VWG-10T;fiyat;77387;77681;294;52;52;2850;0;vosco-pdf-2026
VSC-65/S;fiyat;57022;57239;217;52;52;2100;0;vosco-pdf-2026
VWK-120C;fiyat;57022;57239;217;52;52;2100;0;vosco-pdf-2026
VSL-FRT2C12B;fiyat;55664;55876;212;52;52;2050;0;vosco-pdf-2026
VWG-6T;fiyat;55664;55876;212;52;52;2050;0;vosco-pdf-2026
FT-100R-1;fiyat;55664;55876;212;52;52;2050;0;vosco-pdf-2026
VSC-45/S;fiyat;51591;51788;197;52;52;1900;0;vosco-pdf-2026
VFTW-160L;fiyat;50234;50425;191;52;52;1850;0;vosco-pdf-2026
VFTW-160LYP;fiyat;50234;50425;191;52;52;1850;0;vosco-pdf-2026
VSC-40C;fiyat;48876;49062;186;52;52;1800;0;vosco-pdf-2026
VAF-74B;fiyat;48876;49062;186;52;52;1800;0;vosco-pdf-2026
VAF-74K;fiyat;48876;49062;186;52;52;1800;0;vosco-pdf-2026
VAF-74S;fiyat;48876;49062;186;52;52;1800;0;vosco-pdf-2026
VSC-FRT2C08BB;fiyat;47518;47699;181;52;52;1750;0;vosco-pdf-2026
VXB-74S;fiyat;43445;43611;166;52;52;1600;0;vosco-pdf-2026
VXB-74K;fiyat;43445;43611;166;52;52;1600;0;vosco-pdf-2026
VXB-74B;fiyat;43445;43611;166;52;52;1600;0;vosco-pdf-2026
VWG-5T;fiyat;43445;43611;166;52;52;1600;0;vosco-pdf-2026
VSC-25C;fiyat;38015;38159;144;52;52;1400;0;vosco-pdf-2026
VKM-NG4R;fiyat;33942;34071;129;52;52;1250;0;vosco-pdf-2026
VS-ER268;fiyat;33942;34071;129;52;52;1250;0;vosco-pdf-2026
VCG-835B;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VA-80SR;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VA-80S;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VA-80M;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VA-80K;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VA-80B;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VAF-68B;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VAF-68K;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VAF-68S;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
VWG-3T;fiyat;32584;32708;124;52;52;1200;0;vosco-pdf-2026
