tip,marka,urun,model,sku,dept,kategori,fiyat_tl,id,eslesme
"diger-yedek","Öztiryakiler Endüstriyel Mutfak","GRILL PLATINA KANALI TEMIZLIK TARAGI (171*54*2)","2864.Z20.01710054.A.65","2864.Z20.01710054.A.65","set-ustu-mutfak","mutfak-aksesuar","104","oztiryakiler-endustriyel-mutfak__2864-z20-01710054-a-65","isim"
"diger-yedek","Öztiryakiler Endüstriyel Mutfak","GRILL PLATINA KANALI TEMIZLIK TARAGI (171*54*2)","2864.Z20.01710054.A.65","2864.Z20.01710054.A.65","set-ustu-mutfak","mutfak-aksesuar","104","oztiryakiler-endustriyel-mutfak__2864-z20-01710054-a-65","isim"
"disk-bicak","Dito Sama","Dito Sama 650166 AS2XX Paslanmaz Çelik Şerit Kesme Diski, 2x2 mm","650166","208.650166.AS2XX","hazirlik","dito-sama-650166-as2xx-paslanmaz-celik-serit-kesme-diski-2x2-mm","11969","dito-sama__650166","isim"
"disk-bicak","Dito Sama","Dito Sama Jülyen Kesme Diski, 6x6 mm","650078","208.650078.AS6XX","hazirlik","dito-sama-julyen-kesme-diski-6x6-mm","11000","dito-sama__650078","isim"
"disk-bicak","Dito Sama","Dito Sama Sert Biçimde Kesme Diski, S-Tipi Bıçaklı, Paslanmaz Çelik, 10 mm","650160","208.650160.C10SX","hazirlik","dito-sama-sert-bicimde-kesme-diski-s-tipi-bicakli-paslanmaz-celik-10-mm","7088","dito-sama__650160","isim"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","PDM BICAK TAKIMI 10*10 MM","2840.16010.04","2840.16010.04","set-ustu-mutfak","patates-dilimleme-makinesi-aksesuar","4240","oztiryakiler-endustriyel-mutfak__2840-16010-04","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","PDM BICAK TAKIMI 14-17 MM","2840.16010.06","2840.16010.06","set-ustu-mutfak","patates-dilimleme-makinesi-aksesuar","3686","oztiryakiler-endustriyel-mutfak__2840-16010-06","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","PDM BICAK TAKIMI 14*14 MM","2840.16010.05","2840.16010.05","set-ustu-mutfak","patates-dilimleme-makinesi-aksesuar","3882","oztiryakiler-endustriyel-mutfak__2840-16010-05","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","PDM BICAK TAKIMI 8*8 MM","2840.16010.03","2840.16010.03","set-ustu-mutfak","patates-dilimleme-makinesi-aksesuar","5447","oztiryakiler-endustriyel-mutfak__2840-16010-03","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","SEBZE DOGRAMA MAK. KUBIK KESME DISKI C10","8841.SDC10.00","8841.SDC10.00","hazirlik","aksesuarlar","4077","oztiryakiler-endustriyel-mutfak__8841-sdc10-00","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","SEBZE DOGRAMA MAK. KUBIK KESME DISKI C20","8841.SDC20.00","8841.SDC20.00","hazirlik","aksesuarlar","3981","oztiryakiler-endustriyel-mutfak__8841-sdc20-00","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","SEBZE DOGRAMA MAK. KUBIK ON DISKI K10","8841.SDK10.00","8841.SDK10.00","hazirlik","aksesuarlar","2283","oztiryakiler-endustriyel-mutfak__8841-sdk10-00","kategori"
"disk-bicak","Öztiryakiler Endüstriyel Mutfak","SEBZE DOGRAMA MAK. PARMAK PATATES KESME DISKI P10","8841.SDP10.00","8841.SDP10.00","hazirlik","aksesuarlar","3565","oztiryakiler-endustriyel-mutfak__8841-sdp10-00","kategori"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","BLUETOOTH BAĞLANTI KİTİ EV3294 VE KARE DİJİTAL UYUMLU","2919.BLUET.00","2919.BLUET.00","set-ustu-mutfak","mutfak-aksesuar","9910","oztiryakiler-endustriyel-mutfak__2919-bluet-00","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","BLUETOOTH BAĞLANTI KİTİ EV3294 VE KARE DİJİTAL UYUMLU","2919.BLUET.00","2919.BLUET.00","set-ustu-mutfak","mutfak-aksesuar","9910","oztiryakiler-endustriyel-mutfak__2919-bluet-00","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","DEFROST REZISTANS ILAVESI (-2 / +8 C )","2919.R500W.00","2919.R500W.00","set-ustu-mutfak","mutfak-aksesuar","1491","oztiryakiler-endustriyel-mutfak__2919-r500w-00","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","ELIWELL RS-485 KIT","6234.00009.42","6234.00009.42","set-ustu-mutfak","mutfak-aksesuar","","oztiryakiler-endustriyel-mutfak__6234-00009-42","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.N1","2919.RMTCU.N1","set-ustu-mutfak","mutfak-aksesuar","31034","oztiryakiler-endustriyel-mutfak__2919-rmtcu-n1","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.N3","2919.RMTCU.N3","set-ustu-mutfak","mutfak-aksesuar","34575","oztiryakiler-endustriyel-mutfak__2919-rmtcu-n3","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.L1","2919.RMTCU.L1","set-ustu-mutfak","mutfak-aksesuar","34080","oztiryakiler-endustriyel-mutfak__2919-rmtcu-l1","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.L3","2919.RMTCU.L3","set-ustu-mutfak","mutfak-aksesuar","44145","oztiryakiler-endustriyel-mutfak__2919-rmtcu-l3","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.N1","2919.RMTCU.N1","set-ustu-mutfak","mutfak-aksesuar","31034","oztiryakiler-endustriyel-mutfak__2919-rmtcu-n1","isim"
"elektrik-yedek","Öztiryakiler Endüstriyel Mutfak","REMOTE UNITE","2919.RMTCU.N3","2919.RMTCU.N3","set-ustu-mutfak","mutfak-aksesuar","34575","oztiryakiler-endustriyel-mutfak__2919-rmtcu-n3","isim"
