severity,category,item,detail
ok,sitemap_gap,catalog_coverage,All 15406 expected shop entity URLs present in sitemap
info,sitemap_stats,total_locs,15496 URLs across sitemap*.xml files
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*91*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-11ip4-07, oztiryakiler-endustriyel-mutfak__8897-11ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*107*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-12ip4-07, oztiryakiler-endustriyel-mutfak__8897-12ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*122*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-13ip4-07, oztiryakiler-endustriyel-mutfak__8897-13ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*137*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-14ip4-07, oztiryakiler-endustriyel-mutfak__8897-14ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*152*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-15ip4-07, oztiryakiler-endustriyel-mutfak__8897-15ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 46*183*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-16ip4-07, oztiryakiler-endustriyel-mutfak__8897-16ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*91*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-19ip4-07, oztiryakiler-endustriyel-mutfak__8897-19ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*107*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-20ip4-07, oztiryakiler-endustriyel-mutfak__8897-20ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*122*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-21ip4-07, oztiryakiler-endustriyel-mutfak__8897-21ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*137*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-22ip4-07, oztiryakiler-endustriyel-mutfak__8897-22ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*152*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-23ip4-07, oztiryakiler-endustriyel-mutfak__8897-23ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 53*183*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-24ip4-07, oztiryakiler-endustriyel-mutfak__8897-24ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 61*91*183  PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-27ip4-07, oztiryakiler-endustriyel-mutfak__8897-27ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 61*107*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-28ip4-07, oztiryakiler-endustriyel-mutfak__8897-28ip4-073"
warn,duplicate_title,ISTIF RAFI IZGARA TABLA 61*122*183 PASLANMAZ 4 KATLI · Öztiryakiler Endüstriyel Mutfak · Equsto,"2 products: oztiryakiler-endustriyel-mutfak__8897-29ip4-07, oztiryakiler-endustriyel-mutfak__8897-29ip4-073"
