decision	confidence	reason	lang	dept	slug	target	was_login	url
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-28061		False	https://equsto.com/shop/hazirlik/rc-28061
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-12060-31	/en/shop/tezgah/7911-12060-31	False	https://equsto.com/en/shop/tezgah/pimak-12060-31
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-12125-11		False	https://equsto.com/shop/davlumbaz/pimak-12125-11
RECOVER_308	high	login_next_to_product	en	tezgah	7910-14040-01	/en/shop/tezgah/7910-14040-01	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7910-14040-01
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-10060-15		False	https://equsto.com/en/shop/tezgah/pimak-10060-15
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-eq76	/en/shop/market-reyonlari/eq-falcon-eq76	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-eq76
RECOVER_308	high	login_next_to_product	en	tezgah	7911-14060-56	/en/shop/tezgah/7911-14060-56	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-14060-56
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	2864-q3028-99	/en/shop/set-ustu-mutfak/2864-q3028-99	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/2864-q3028-99
RECOVER_308	high	login_next_to_product	en	dolap	7754-147cb-11	/en/shop/tezgah/7754-147cb-11	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7754-147cb-11
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	equsto__equsto-35125-01		False	https://equsto.com/en/shop/davlumbaz/equsto__equsto-35125-01
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	8325-0kfh5-03	/en/shop/set-ustu-mutfak/8325-0kfh5-03	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8325-0kfh5-03
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-27072		False	https://equsto.com/shop/hazirlik/rc-27072
NEEDS_HUMAN	low	ambiguous_sku_match	tr	tezgah	pimak-19070-08		False	https://equsto.com/shop/tezgah/pimak-19070-08
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	pimak-50205-00		False	https://equsto.com/en/shop/davlumbaz/pimak-50205-00
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-lotus-eq5		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-lotus-eq5
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-fulya-hf-tp-eq16		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-fulya-hf-tp-eq16
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	nergis-tp-sky-ml-3m1-1875x1012x2050		False	https://equsto.com/shop/market-reyonlari/nergis-tp-sky-ml-3m1-1875x1012x2050
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	nergis-lb-fg-ml-3m1-3124x912x2050		False	https://equsto.com/shop/market-reyonlari/nergis-lb-fg-ml-3m1-3124x912x2050
DROP_NO_VALUE	high	no_product_match	en	sogutma	portabianco-tezgah-tip-mix-iki-kapili-buzdolabi		False	https://equsto.com/en/shop/sogutma/portabianco-tezgah-tip-mix-iki-kapili-buzdolabi
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-1909w		False	https://equsto.com/shop/hazirlik/rc-1909w
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-tp-sky-eq20		False	https://equsto.com/shop/market-reyonlari/eq-nergis-tp-sky-eq20
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lm-eq54		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lm-eq54
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-28113		False	https://equsto.com/shop/hazirlik/rc-28113
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lb-fg-eq39		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lb-fg-eq39
RECOVER_308	high	login_next_to_product	en	tezgah	ino-krc180	/en/shop/tezgah/ino-krc180	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-krc180
DROP_NO_VALUE	high	non_product_url	tr		/prosogutma-market/buffalo/buffalo.pdf		False	https://equsto.com/prosogutma-market/buffalo/buffalo.pdf
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-t1-057-89054		False	https://equsto.com/shop/hazirlik/rc-t1-057-89054
DROP_NO_VALUE	high	non_product_url	tr		/prosogutma-market/firefly-corners/firefly-corners-br.pdf		False	https://equsto.com/prosogutma-market/firefly-corners/firefly-corners-br.pdf
RECOVER_308	high	login_next_to_product	en	yikama	7960-20629-7o3	/en/shop/yikama/7960-20629-7o3	True	https://equsto.com/en/login.html?next=/en/shop/yikama/7960-20629-7o3
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-25125-01	/en/shop/davlumbaz/7885-25125-01	False	https://equsto.com/en/shop/davlumbaz/pimak-25125-01
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	bosfor-bosfor-cift-motorlu-spiral-mikser-ush-150t		False	https://equsto.com/shop/hazirlik/bosfor-bosfor-cift-motorlu-spiral-mikser-ush-150t
RECOVER_308	high	login_next_to_product	en	sogutma	7919-df6030-00	/en/shop/sogutma/7919-df6030-00	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/7919-df6030-00
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-sld-eq115	/en/shop/market-reyonlari/eq-falcon-sld-eq115	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-sld-eq115
RECOVER_308	high	login_next_to_product	en	tezgah	7754-247d5-23	/en/shop/tezgah/7754-247d5-23	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7754-247d5-23
DROP_NO_VALUE	high	no_product_match	en	tezgah	hazirlik.html		False	https://equsto.com/en/shop/tezgah/hazirlik.html
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	0311-21020-10	/en/shop/set-ustu-mutfak/0311-21020-10	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/0311-21020-10
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lb-fg-sky-eq2		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lb-fg-sky-eq2
DROP_NO_VALUE	high	no_product_match	en	market-reyonlari	eq-orkide-eq17		False	https://equsto.com/en/shop/market-reyonlari/eq-orkide-eq17
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-t1-057-39345		False	https://equsto.com/shop/hazirlik/rc-t1-057-39345
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-33208		False	https://equsto.com/en/shop/hazirlik/rc-33208
RECOVER_308	high	login_next_to_product	en	pisirme	xela-05eu-exrs	/en/shop/pisirme/xela-05eu-exrs	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/xela-05eu-exrs
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-25155-01	/shop/davlumbaz/7885-25155-01	False	https://equsto.com/shop/davlumbaz/pimak-25155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-12060-52	/shop/tezgah/7911-12060-52	False	https://equsto.com/shop/tezgah/pimak-12060-52
