decision	confidence	reason	lang	dept	slug	target	was_login	url
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-28061		False	https://equsto.com/shop/hazirlik/rc-28061
DROP_NO_VALUE	high	no_product_match	tr	davlumbaz	pimak-12125-11		False	https://equsto.com/shop/davlumbaz/pimak-12125-11
DROP_NO_VALUE	high	no_product_match	en	tezgah	pimak-10060-15		False	https://equsto.com/en/shop/tezgah/pimak-10060-15
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	equsto__equsto-35125-01		False	https://equsto.com/en/shop/davlumbaz/equsto__equsto-35125-01
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-27072		False	https://equsto.com/shop/hazirlik/rc-27072
DROP_NO_VALUE	high	no_product_match	en	davlumbaz	pimak-50205-00		False	https://equsto.com/en/shop/davlumbaz/pimak-50205-00
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-lotus-eq5		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-lotus-eq5
DROP_NO_VALUE	high	login_next_no_product	en	market-reyonlari	eq-fulya-hf-tp-eq16		True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-fulya-hf-tp-eq16
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	nergis-tp-sky-ml-3m1-1875x1012x2050		False	https://equsto.com/shop/market-reyonlari/nergis-tp-sky-ml-3m1-1875x1012x2050
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	nergis-lb-fg-ml-3m1-3124x912x2050		False	https://equsto.com/shop/market-reyonlari/nergis-lb-fg-ml-3m1-3124x912x2050
DROP_NO_VALUE	high	no_product_match	en	sogutma	portabianco-tezgah-tip-mix-iki-kapili-buzdolabi		False	https://equsto.com/en/shop/sogutma/portabianco-tezgah-tip-mix-iki-kapili-buzdolabi
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-1909w		False	https://equsto.com/shop/hazirlik/rc-1909w
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-tp-sky-eq20		False	https://equsto.com/shop/market-reyonlari/eq-nergis-tp-sky-eq20
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lm-eq54		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lm-eq54
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-28113		False	https://equsto.com/shop/hazirlik/rc-28113
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lb-fg-eq39		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lb-fg-eq39
DROP_NO_VALUE	high	non_product_url	tr		/prosogutma-market/buffalo/buffalo.pdf		False	https://equsto.com/prosogutma-market/buffalo/buffalo.pdf
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-t1-057-89054		False	https://equsto.com/shop/hazirlik/rc-t1-057-89054
DROP_NO_VALUE	high	non_product_url	tr		/prosogutma-market/firefly-corners/firefly-corners-br.pdf		False	https://equsto.com/prosogutma-market/firefly-corners/firefly-corners-br.pdf
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	bosfor-bosfor-cift-motorlu-spiral-mikser-ush-150t		False	https://equsto.com/shop/hazirlik/bosfor-bosfor-cift-motorlu-spiral-mikser-ush-150t
DROP_NO_VALUE	high	no_product_match	en	tezgah	hazirlik.html		False	https://equsto.com/en/shop/tezgah/hazirlik.html
DROP_NO_VALUE	high	no_product_match	tr	market-reyonlari	eq-nergis-lb-fg-sky-eq2		False	https://equsto.com/shop/market-reyonlari/eq-nergis-lb-fg-sky-eq2
DROP_NO_VALUE	high	no_product_match	en	market-reyonlari	eq-orkide-eq17		False	https://equsto.com/en/shop/market-reyonlari/eq-orkide-eq17
DROP_NO_VALUE	high	no_product_match	tr	hazirlik	rc-t1-057-39345		False	https://equsto.com/shop/hazirlik/rc-t1-057-39345
DROP_NO_VALUE	high	no_product_match	en	hazirlik	rc-33208		False	https://equsto.com/en/shop/hazirlik/rc-33208
