plan_bucket	decision	gsc_reason	why	action	confidence	lang	kind	dept	slug	target	was_login	product_hit	url	last_crawl
P2_CANONICAL_HYGIENE	FIX_ROBOTS_CONFLICT	Robots.txt tarafından engelleniyor olsa da dizine eklendi	robots_index_conflict	unblock_or_noindex_consistent	high	en	shop_pdp	sogutma	tt-2nd70-e	/en/shop/sogutma/tt-2nd70-e	True	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/tt-2nd70-e	2026-09-09
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	dolap	7911-16070-31p	/shop/tezgah/7911-16070-31p	False	True	https://equsto.com/shop/dolap/7911-16070-31p	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	pisirme	oztiryakiler-endustriyel-mutfak__8890-mt120-03	/shop/pisirme/8890-mt120-03	False	True	https://equsto.com/shop/pisirme/oztiryakiler-endustriyel-mutfak__8890-mt120-03	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	non_pdp_redirect	monitor		tr	shop_hub	icecek.html			False	False	https://equsto.com/shop/icecek.html	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	icecek	oztiryakiler-endustriyel-mutfak__8573-ede3s	/shop/icecek/8573-ede3s	False	True	https://equsto.com/shop/icecek/oztiryakiler-endustriyel-mutfak__8573-ede3s	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	non_pdp_redirect	monitor		tr	shop_hub	yikama.html			False	False	https://equsto.com/shop/yikama.html	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	pisirme	electrolux-professional__391602	/shop/pisirme/391602	False	True	https://equsto.com/shop/pisirme/electrolux-professional__391602	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	dolap	oztiryakiler-endustriyel-mutfak__7754-197cb-21	/shop/tezgah/7754-197cb-21	False	True	https://equsto.com/shop/dolap/oztiryakiler-endustriyel-mutfak__7754-197cb-21	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	tezgah	oztiryakiler-endustriyel-mutfak__7754-197cb-21	/shop/tezgah/7754-197cb-21	False	True	https://equsto.com/shop/tezgah/oztiryakiler-endustriyel-mutfak__7754-197cb-21	2026-09-22
P3_OK_LEAVE	OK_REDIRECT	Yönlendirmeli sayfa	healthy_redirect_to_product	monitor	high	tr	shop_pdp	dolap	oztiryakiler-endustriyel-mutfak__7758-187c8-21	/shop/tezgah/7758-187c8-21	False	True	https://equsto.com/shop/dolap/oztiryakiler-endustriyel-mutfak__7758-187c8-21	2026-09-22
