plan_bucket	decision	gsc_reason	why	action	confidence	lang	kind	dept	slug	target	was_login	product_hit	url	last_crawl
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-160-70		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-160-70	2026-07-25
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-gn-1200-lmv-dort-yar-m-kap-l-der-n-dondurucu-430-k-t-p		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-gn-1200-lmv-dort-yar-m-kap-l-der-n-dondurucu-430-k-t-p	2026-07-23
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-gn-600-lmv-tek-nox-kap-d-k-t-p-derin-dondurucu-k-tip		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-gn-600-lmv-tek-nox-kap-d-k-t-p-derin-dondurucu-k-tip	2026-07-21
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-servis-raf-bombe-caml-140-30		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-servis-raf-bombe-caml-140-30	2026-07-21
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410	high	tr	shop_pdp	dolap	7911-06060-12k	/shop/tasima/7911-06060-12k	False	False	https://equsto.com/shop/dolap/7911-06060-12k	2026-07-20
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-servis-raf-160-30		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-servis-raf-160-30	2026-07-19
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-duvar-raf-s-zmeli-140-30		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-duvar-raf-s-zmeli-140-30	2026-07-18
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-servis-raf-190-30		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-servis-raf-190-30	2026-07-16
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-gn-600-lmv-tek-nox-kap-d-k-t-p-der-n-dondurucu		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-gn-600-lmv-tek-nox-kap-d-k-t-p-der-n-dondurucu	2026-07-15
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-140-60		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-140-60	2026-07-10
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	dolap	ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-140-70		False	False	https://equsto.com/shop/dolap/ztiryakiler-end-striyel-mutfak-s-cakl-k-dolab-s-rtl-elektrikli-140-70	2026-07-04
P1_DROP_NO_VALUE	DROP_410	Yeniden yönlendirme hatası	broken_redirect_no_product	410		tr	shop_pdp	sogutma	oztiryakiler-endustriyel-mutfak-oztiryakiler-gn-600-lmv-cift-yarim-kapili-dik-tip-derin-dondurucu-k-tip-79k4-06lmv-10		False	False	https://equsto.com/shop/sogutma/oztiryakiler-endustriyel-mutfak-oztiryakiler-gn-600-lmv-cift-yarim-kapili-dik-tip-derin-dondurucu-k-tip-79k4-06lmv-10	2026-06-30
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	hazirlik	rc-28061		False	False	https://equsto.com/shop/hazirlik/rc-28061	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	davlumbaz	pimak-12125-11		False	False	https://equsto.com/shop/davlumbaz/pimak-12125-11	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	tezgah	pimak-10060-15		False	False	https://equsto.com/en/shop/tezgah/pimak-10060-15	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	davlumbaz	equsto__equsto-35125-01		False	False	https://equsto.com/en/shop/davlumbaz/equsto__equsto-35125-01	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	hazirlik	rc-27072		False	False	https://equsto.com/shop/hazirlik/rc-27072	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	davlumbaz	pimak-50205-00		False	False	https://equsto.com/en/shop/davlumbaz/pimak-50205-00	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	market-reyonlari	eq-lotus-eq5		True	False	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-lotus-eq5	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	market-reyonlari	eq-fulya-hf-tp-eq16		True	False	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-fulya-hf-tp-eq16	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	market-reyonlari	nergis-tp-sky-ml-3m1-1875x1012x2050		False	False	https://equsto.com/shop/market-reyonlari/nergis-tp-sky-ml-3m1-1875x1012x2050	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	market-reyonlari	nergis-lb-fg-ml-3m1-3124x912x2050		False	False	https://equsto.com/shop/market-reyonlari/nergis-lb-fg-ml-3m1-3124x912x2050	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		en	shop_pdp	sogutma	portabianco-tezgah-tip-mix-iki-kapili-buzdolabi		False	False	https://equsto.com/en/shop/sogutma/portabianco-tezgah-tip-mix-iki-kapili-buzdolabi	2026-09-22
P1_DROP_NO_VALUE	DROP_410	Bulunamadı (404)	no_sellable_product	410+sitemap_drop		tr	shop_pdp	hazirlik	rc-1909w		False	False	https://equsto.com/shop/hazirlik/rc-1909w	2026-09-22
