plan_bucket	decision	gsc_reason	why	action	confidence	lang	kind	dept	slug	target	was_login	product_hit	url	last_crawl
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	nergis-fg-ml-3m1-937x712x2200		False	False	https://equsto.com/shop/market-reyonlari/nergis-fg-ml-3m1-937x712x2200	2026-09-21
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	nergis-lb-fg-sky-ml-3m1-937x812x2200		False	False	https://equsto.com/shop/market-reyonlari/nergis-lb-fg-sky-ml-3m1-937x812x2200	2026-09-21
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	nergis-sky-ml-3m1-937x712x2200		False	False	https://equsto.com/shop/market-reyonlari/nergis-sky-ml-3m1-937x712x2200	2026-09-21
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	sogutma	ztiryakiler-end-striyel-mutfak-gn-1200-nmv-c-ft-nox-kap-d-k-t-p-buzdolab-k-tip		False	False	https://equsto.com/shop/sogutma/ztiryakiler-end-striyel-mutfak-gn-1200-nmv-c-ft-nox-kap-d-k-t-p-buzdolab-k-tip	2026-09-21
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	nergis-lb-tp-sky-ml-3m1-1875x912x2200		False	False	https://equsto.com/shop/market-reyonlari/nergis-lb-tp-sky-ml-3m1-1875x912x2200	2026-09-21
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	fulya-hf-fg-sky-ml-3m1-1875x740x2070		False	False	https://equsto.com/shop/market-reyonlari/fulya-hf-fg-sky-ml-3m1-1875x740x2070	2026-09-17
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	fulya-nv-fg-sky-ml-3m1-1250x790x2070		False	False	https://equsto.com/shop/market-reyonlari/fulya-nv-fg-sky-ml-3m1-1250x790x2070	2026-09-17
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	nergis-lb-fg-sky-ml-3m1-1250x1012x2200		False	False	https://equsto.com/shop/market-reyonlari/nergis-lb-fg-sky-ml-3m1-1250x1012x2200	2026-09-17
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	fulya-nv-fg-ml-3m1-937x690x2220		False	False	https://equsto.com/shop/market-reyonlari/fulya-nv-fg-ml-3m1-937x690x2220	2026-09-17
P9_HUMAN	FIX_OR_DROP	Yönlendirmeli sayfa	redirect_source_no_sellable_or_unknown	check_redirect_target		tr	shop_pdp	market-reyonlari	lotus-fl-3h1-1875x812x2050		False	False	https://equsto.com/shop/market-reyonlari/lotus-fl-3h1-1875x812x2050	2026-09-17
