urun_adi,sku,oztiryakiler_url,alt_kategoriler,kategori_ana,mevcut_satis_fiyati,liste_fiyati,eslesme_durumu,equsto_fiyat_tl,equsto_urun_kodu,equsto_url
Alüminyum Pizza Tavası Kapaklı,8631.14632.00-tr,https://oztiryakiler.com.tr/urun/aluminyum-pizza-tavasi-kapakli-8631-14632-00/,pisirme-ekipmanlari | pizza-tavalari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Alüminyum Baklava Tepsisi,8654.33454.00-tr,https://oztiryakiler.com.tr/urun/aluminyum-baklava-tepsisi-8654-33454-00/,pisirme-ekipmanlari,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Alüminyum Baklava Tepsisi,8654.39514.00-tr,https://oztiryakiler.com.tr/urun/aluminyum-baklava-tepsisi-8654-39514-00/,pisirme-ekipmanlari,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Alüminyum Baklava Tepsisi,8654.40605.00-tr,https://oztiryakiler.com.tr/urun/aluminyum-baklava-tepsisi-8654-40605-00/,baklava-tepsileri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Sahan,8149.00014.00-tr,https://oztiryakiler.com.tr/urun/bakir-sahan-8149-00014-00/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Sahan,8149.00016.01-tr,https://oztiryakiler.com.tr/urun/bakir-sahan-8149-00016-01/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Sahan,8149.00018.02-tr,https://oztiryakiler.com.tr/urun/bakir-sahan-8149-00018-02/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Sahan,8149.00020.03-tr,https://oztiryakiler.com.tr/urun/bakir-sahan-8149-00020-03/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Sahan,8149.00022.04-tr,https://oztiryakiler.com.tr/urun/bakir-sahan-8149-00022-04/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Wok Tava,8149.00497.24-tr,https://oztiryakiler.com.tr/urun/bakir-wok-tava-8149-00497-24/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Wok Tava,8149.00497.26-tr,https://oztiryakiler.com.tr/urun/bakir-wok-tava-8149-00497-26/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Bakır Wok Tava,8149.00497.28-tr,https://oztiryakiler.com.tr/urun/bakir-wok-tava-8149-00497-28/,bakir | pisirme-ekipmanlari | tavalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Buz Maşası Küçük,8467.00001.07-tr,https://oztiryakiler.com.tr/urun/buz-masasi-kucuk-8467-00001-07/,el-gerecleri | masalar,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 1,8338.00001.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-1-8338-00001-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 2,8338.00002.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-2-8338-00002-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 3,8338.00003.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-3-8338-00003-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 4,8338.00004.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-4-8338-00004-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 5,8338.00005.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-5-8338-00005-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 6,8338.00006.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-6-8338-00006-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Teli Paslanmaz Sapli Telli No 7,8338.00007.03-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-sapli-telli-no-7-8338-00007-03/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Telı Paslanmaz,8338.00000.30-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-8338-00000-30/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Telı Paslanmaz,8338.00000.35-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-8338-00000-35/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Telı Paslanmaz,8338.00000.40-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-8338-00000-40/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Çırpma Telı Paslanmaz,8338.00000.50-tr,https://oztiryakiler.com.tr/urun/cirpma-teli-paslanmaz-8338-00000-50/,cirpma-telleri | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Derin Kaşıklık 8317.BO216.00-tr,,https://oztiryakiler.com.tr/urun/derin-kasiklik-8317-bo216-00/,gida-saklama-cozumleri-gida-saklama-ve-tasima-yardimci-mutfak-ekipmanlari | gida-saklama-ve-tasima-yardimci-mutfak-ekipmanlari,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Döber Küreği Bakalit Saplı 8479.0DKBS.00-tr,,https://oztiryakiler.com.tr/urun/dober-kuregi-bakalit-sapli-8479-0dkbs-00/,doner-kuregi | el-gerecleri,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Döküm Yayvan Tencere 8130.YST24.K1K-tr,,https://oztiryakiler.com.tr/urun/dokum-yayvan-tencere-8130-yst24-k1k/,dokum-demir | pisirme-ekipmanlari | tencereler,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Döküm Yayvan Tencere 8130.YST24.K1P-tr,,https://oztiryakiler.com.tr/urun/dokum-yayvan-tencere-8130-yst24-k1p/,dokum-demir | pisirme-ekipmanlari | tencereler,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
Döküm Yayvan Tencere 8130.YST24.K1Y-tr,,https://oztiryakiler.com.tr/urun/dokum-yayvan-tencere-8130-yst24-k1y/,dokum-demir | pisirme-ekipmanlari | tencereler,Yardımcı Mutfak Ekipmanları,,,Equsto katalogunda bu kategori yok,,,
